|..|    0,    0,........S.........|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,........S.........|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,........S.........|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,........S.........|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,........S.........|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,........S.........|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
|..|    0,    0,..................|    0,    0,..................| -126,   20,....U.............|    0,    0,..................|
